Date,Hospitalisations,ICU
16/03/2020,,
17/03/2020,,
18/03/2020,,
19/03/2020,,
20/03/2020,,
21/03/2020,,
22/03/2020,,
23/03/2020,,
24/03/2020,,
25/03/2020,,
26/03/2020,,
27/03/2020,,
28/03/2020,,
29/03/2020,,
30/03/2020,295,55
31/03/2020,268,63
1/04/2020,396,76
2/04/2020,414,80
3/04/2020,410,85
4/04/2020,,
5/04/2020,408,91
6/04/2020,448,96
7/04/2020,305,93
8/04/2020,263,87
9/04/2020,262,81
10/04/2020,236,72
11/04/2020,240,80
12/04/2020,239,81
13/04/2020,227,79
14/04/2020,230,80
15/04/2020,214,76
16/04/2020,201,66
17/04/2020,192,60
18/04/2020,184,55
19/04/2020,177,48
20/04/2020,170,49
21/04/2020,167,47
22/04/2020,162,47
23/04/2020,152,45
24/04/2020,138,42
25/04/2020,129,43
26/04/2020,115,42
27/04/2020,113,43
28/04/2020,109,42
29/04/2020,93,38
30/04/2020,89,34
1/05/2020,83,28
2/05/2020,79,28
3/05/2020,75,28
4/05/2020,70,28
5/05/2020,66,27
6/05/2020,62,27
7/05/2020,58,23
8/05/2020,56,21
9/05/2020,51,19
10/05/2020,43,17
11/05/2020,49,16
12/05/2020,47,16
13/05/2020,50,17
14/05/2020,51,18
15/05/2020,46,17
16/05/2020,49,16
17/05/2020,50,16
18/05/2020,45,12
19/05/2020,47,11
20/05/2020,43,9
21/05/2020,41,9
22/05/2020,39,7
23/05/2020,35,5
24/05/2020,33,5
25/05/2020,31,5
26/05/2020,30,5
27/05/2020,30,6
28/05/2020,27,5
29/05/2020,23,4
30/05/2020,22,4
31/05/2020,21,4
1/06/2020,20,3
2/06/2020,26,4
3/06/2020,25,5
4/06/2020,23,4
5/06/2020,21,2
6/06/2020,21,4
7/06/2020,18,3
8/06/2020,19,3
9/06/2020,19,2
10/06/2020,20,3
11/06/2020,18,2
12/06/2020,17,2
13/06/2020,16,2
14/06/2020,16,3
15/06/2020,17,4
16/06/2020,17,3
17/06/2020,16,3
18/06/2020,14,2
19/06/2020,15,2
20/06/2020,17,3
21/06/2020,15,2
22/06/2020,16,2
23/06/2020,19,3
24/06/2020,16,2
25/06/2020,16,2
26/06/2020,12,1
27/06/2020,12,1
28/06/2020,11,1
29/06/2020,15,1
30/06/2020,14,1
1/07/2020,18,3
2/07/2020,24,5
3/07/2020,27,7
4/07/2020,29,4
5/07/2020,30,4
6/07/2020,34,6
7/07/2020,39,10
8/07/2020,46,8
9/07/2020,45,10
10/07/2020,54,13
11/07/2020,55,16
12/07/2020,67,17
13/07/2020,92,18
14/07/2020,90,27
15/07/2020,111,28
16/07/2020,114,30
17/07/2020,126,32
18/07/2020,116,26
19/07/2020,135,29
20/07/2020,156,33
21/07/2020,183,38
22/07/2020,214,42
23/07/2020,211,41
24/07/2020,217,44
25/07/2020,239,46
26/07/2020,241,46
27/07/2020,259,49
28/07/2020,275,47
29/07/2020,323,46
30/07/2020,330,40
31/07/2020,366,44
1/08/2020,401,50
2/08/2020,408,46
3/08/2020,439,43
4/08/2020,483,44
5/08/2020,538,42
6/08/2020,600,52
7/08/2020,632,51
8/08/2020,659,53
9/08/2020,658,51
10/08/2020,664,54
11/08/2020,673,51
12/08/2020,685,51
13/08/2020,686,44
14/08/2020,679,47
15/08/2020,681,48
16/08/2020,680,47
17/08/2020,674,51
18/08/2020,682,52
19/08/2020,694,52
20/08/2020,642,51
21/08/2020,647,47
22/08/2020,631,43
23/08/2020,604,39
24/08/2020,659,38
25/08/2020,644,42
26/08/2020,603,45
27/08/2020,558,35
28/08/2020,543,35
29/08/2020,510,32
30/08/2020,501,31
31/08/2020,481,27
1/09/2020,450,26
2/09/2020,432,23
3/09/2020,391,26
4/09/2020,357,27
5/09/2020,327,27
6/09/2020,311,26
7/09/2020,295,32
8/09/2020,264,29
9/09/2020,221,26
10/09/2020,195,23
11/09/2020,162,18
12/09/2020,151,15
13/09/2020,137,17
14/09/2020,141,18
15/09/2020,139,17
