Date,0-9,,Oct-19,,20-29,,30-39,,40-49,,50-59,,60-69,,70-79,,80-89,,90+,
20-May-21,0,,0,,1,,2,,2,,15,,38,,158,,379,,315,
21-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
22-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
23-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
24-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
25-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
26-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
27-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
28-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
29-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
30-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
31-May-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
1-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
2-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
3-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
4-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
5-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
6-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
7-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,158,0,379,0,315,0
8-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,-1,380,1,315,0
9-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
10-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
11-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
12-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
13-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
14-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
15-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
16-Jun-21,0,0,0,0,1,0,2,0,2,0,15,0,38,0,157,0,380,0,315,0
