Date,NSW,,VIC,,QLD,,WA,,SA,,TAS,,ACT,,NT,
25-Jan-20,,,,,,,,,,,,,,,,
26-Jan-20,,,,,,,,,,,,,,,,
27-Jan-20,,,,,,,,,,,,,,,,
28-Jan-20,,,,,,,,,,,,,,,,
29-Jan-20,,,,,,,,,,,,,,,,
30-Jan-20,,,,,,,,,,,,,,,,
31-Jan-20,,,,,,,,,,,,,,,,
1-Feb-20,,,,,,,,,,,,,,,,
2-Feb-20,,,,,,,,,,,,,,,,
3-Feb-20,,,,,,,,,,,,,,,,
4-Feb-20,,,,,,,,,,,,,,,,
5-Feb-20,,,,,,,,,,,,,,,,
6-Feb-20,,,,,,,,,,,,,,,,
7-Feb-20,,,,,,,,,,,,,,,,
8-Feb-20,,,,,,,,,,,,,,,,
9-Feb-20,,,,,,,,,,,,,,,,
10-Feb-20,,,,,,,,,,,,,,,,
11-Feb-20,,,,,,,,,,,,,,,,
12-Feb-20,,,,,,,,,,,,,,,,
13-Feb-20,,,,,,,,,,,,,,,,
14-Feb-20,,,,,,,,,,,,,,,,
15-Feb-20,,,,,,,,,,,,,,,,
16-Feb-20,,,,,,,,,,,,,,,,
17-Feb-20,,,,,,,,,,,,,,,,
18-Feb-20,,,,,,,,,,,,,,,,
19-Feb-20,,,,,,,,,,,,,,,,
20-Feb-20,,,,,,,,,,,,,,,,
21-Feb-20,,,,,,,,,,,,,,,,
22-Feb-20,,,,,,,,,,,,,,,,
23-Feb-20,,,,,,,,,,,,,,,,
24-Feb-20,,,,,,,,,,,,,,,,
25-Feb-20,,,,,,,,,,,,,,,,
26-Feb-20,,,,,,,,,,,,,,,,
27-Feb-20,,,,,,,,,,,,,,,,
28-Feb-20,,,,,,,,,,,,,,,,
29-Feb-20,,,,,,,,,,,,,,,,
1-Mar-20,,,,,,,,,,,,,,,,
2-Mar-20,,,,,,,,,,,,,,,,
3-Mar-20,,,,,,,,,,,,,,,,
4-Mar-20,,,,,,,,,,,,,,,,
5-Mar-20,,,,,,,,,,,,,,,,
6-Mar-20,,,,,,,,,,,,,,,,
7-Mar-20,,,,,,,,,,,,,,,,
8-Mar-20,,,,,,,,,,,,,,,,
9-Mar-20,,,,,,,,,,,,,,,,
10-Mar-20,,,,,,,,,,,,,,,,
11-Mar-20,,,,,,,,,,,,,,,,
12-Mar-20,,,,,,,,,,,,,,,,
13-Mar-20,,,,,,,,,,,,,,,,
14-Mar-20,,,,,,,,,,,,,,,,
15-Mar-20,,,,,,,,,,,,,,,,
16-Mar-20,,,5,,,,,,,,,,,,,
17-Mar-20,,,7,2,,,,,,,,,,,,
18-Mar-20,,,6,-1,,,,,,,,,,,,
19-Mar-20,,,7,1,,,,,,,,,,,,
20-Mar-20,,,6,-1,,,4,,,,,,,,,
21-Mar-20,,,5,-1,,,5,1,,,,,,,,
22-Mar-20,,,6,1,,,7,2,,,,,,,,
23-Mar-20,,,6,0,,,12,5,,,,,,,,
24-Mar-20,,,12,6,,,11,-1,,,,,,,,
25-Mar-20,,,12,0,,,11,0,,,,,,,,
26-Mar-20,,,14,2,,,11,0,,,5,,,,,
27-Mar-20,53,,22,8,,,13,2,,,,,,,,
28-Mar-20,,,21,-1,,,14,1,,,,,,,,
29-Mar-20,,,26,5,,,20,6,,,,,,,,
30-Mar-20,,,29,3,,,20,0,,,,,,,,
31-Mar-20,,,29,0,,,54,34,,,,,,,,
1-Apr-20,218,,32,3,66,,54,0,23,,9,,8,,16,
2-Apr-20,231,13,36,4,60,-6,56,2,19,-4,10,1,11,3,18,2
3-Apr-20,209,-22,37,1,54,-6,56,0,18,-1,10,0,12,1,19,1
4-Apr-20,251,42,42,5,47,-7,58,2,19,1,11,1,6,-6,23,4
5-Apr-20,279,28,47,5,43,-4,59,1,20,1,11,0,7,1,24,1
6-Apr-20,249,-30,45,-2,43,0,58,-1,20,0,11,0,7,0,24,0
7-Apr-20,103,-146,47,2,42,-1,54,-4,16,-4,13,2,6,-1,24,0
8-Apr-20,92,-11,45,-2,35,-7,34,-20,16,0,13,0,4,-2,24,0
9-Apr-20,88,-4,50,5,33,-2,34,0,15,-1,15,2,3,-1,24,0
10-Apr-20,83,-5,43,-7,36,3,34,0,15,0,8,-7,4,1,24,0
11-Apr-20,78,-5,44,1,28,-8,39,5,15,0,8,0,4,0,24,0
12-Apr-20,78,0,44,0,30,2,38,-1,14,-1,10,2,3,-1,22,-2
13-Apr-20,77,-1,40,-4,23,-7,38,0,13,-1,11,1,3,0,22,0
14-Apr-20,80,3,40,0,24,1,38,0,11,-2,12,1,3,0,22,0
15-Apr-20,73,-7,39,-1,23,-1,33,-5,10,-1,13,1,2,-1,21,-1
16-Apr-20,64,-9,36,-3,21,-2,33,0,10,0,15,2,2,0,20,-1
17-Apr-20,63,-1,32,-4,19,-2,34,1,7,-3,16,1,2,0,19,-1
18-Apr-20,57,-6,30,-2,22,3,33,-1,7,0,17,1,1,-1,17,-2
19-Apr-20,57,0,29,-1,22,0,28,-5,7,0,18,1,0,-1,16,-1
20-Apr-20,53,-4,28,-1,20,-2,27,-1,6,-1,19,1,1,1,16,0
21-Apr-20,55,2,28,0,21,1,26,-1,5,-1,17,-2,1,0,14,-2
22-Apr-20,50,-5,29,1,20,-1,25,-1,4,-1,18,1,1,0,14,0
23-Apr-20,47,-3,27,-2,20,0,24,-1,4,0,16,-2,1,0,13,-1
24-Apr-20,43,-4,27,0,18,-2,20,-4,4,0,16,0,0,-1,10,-3
25-Apr-20,39,-4,24,-3,18,0,24,4,4,0,14,-2,1,1,5,-5
26-Apr-20,37,-2,21,-3,18,0,16,-8,4,0,13,-1,1,0,5,0
27-Apr-20,35,-2,23,2,15,-3,16,0,4,0,14,1,1,0,5,0
28-Apr-20,33,-2,23,0,14,-1,16,0,4,0,14,0,0,-1,5,0
