Date,5-Nov,,Dec-15,,16-19,,20-29,,30-39,,40-49,,50-59,,60-69,,70-79,,80-89,,90+
10-May-21,,,-,,0.45%,,3.66%,,4.41%,,5.32%,,9.35%,,13.62%,,37.34%,,40.63%,,44.15%
11-May-21,,,-,,0.45%,,3.66%,,4.41%,,5.37%,,9.70%,,14.24%,,38.14%,,41.39%,,44.75%
12-May-21,,,-,,0.45%,,3.74%,,4.51%,,5.44%,,10.10%,,14.96%,,38.98%,,42.21%,,45.27%
13-May-21,,,-,,0.45%,,3.79%,,4.61%,,5.54%,,10.50%,,15.67%,,39.95%,,43.18%,,46.18%
14-May-21,,,-,,0.50%,,3.86%,,4.68%,,5.69%,,10.95%,,16.47%,,40.96%,,44.38%,,47.92%
15-May-21,,,-,,0.50%,,3.86%,,4.68%,,5.69%,,10.95%,,16.47%,,40.96%,,44.38%,,47.92%
16-May-21,,,-,,0.55%,,3.96%,,4.81%,,5.87%,,11.62%,,17.53%,,42.10%,,45.53%,,48.91%
17-May-21,,,-,,0.55%,,3.96%,,4.81%,,5.87%,,11.62%,,17.53%,,42.10%,,45.53%,,48.91%
18-May-21,,,-,,0.55%,,4.04%,,4.88%,,5.95%,,12.00%,,18.27%,,42.87%,,46.17%,,49.42%
19-May-21,,,-,,0.55%,,4.11%,,5.01%,,6.22%,,12.62%,,19.27%,,43.76%,,47.23%,,50.93%
20-May-21,,,-,,0.65%,,4.26%,,5.21%,,6.57%,,13.22%,,20.23%,,44.68%,,48.17%,,51.86%
21-May-21,,,-,,0.65%,,4.36%,,5.31%,,6.72%,,13.82%,,21.30%,,45.60%,,49.04%,,53.19%
22-May-21,,,-,,0.70%,,4.49%,,5.48%,,7.12%,,14.67%,,22.51%,,46.62%,,50.11%,,53.88%
23-May-21,,,-,,0.75%,,4.49%,,5.48%,,7.12%,,14.72%,,22.64%,,46.72%,,50.21%,,54.00%
24-May-21,,,-,,0.80%,,4.59%,,5.58%,,7.32%,,15.32%,,23.55%,,47.40%,,50.87%,,54.48%
25-May-21,,,-,,0.80%,,4.67%,,5.76%,,7.55%,,15.99%,,24.57%,,48.27%,,51.62%,,55.00%
26-May-21,,,-,,0.80%,,4.67%,,5.76%,,7.55%,,15.99%,,24.57%,,48.27%,,51.62%,,55.00%
27-May-21,,,-,,0.85%,,4.77%,,5.86%,,7.78%,,16.69%,,25.71%,,49.25%,,52.48%,,55.76%
