Country,date,type,value
Australia,31/03/2020,Daily ICU occupancy,82
Australia,31/03/2020,Daily ICU occupancy per million,3.132
Australia,31/03/2020,Daily hospital occupancy,426
Australia,31/03/2020,Daily hospital occupancy per million,16.274
Australia,1/04/2020,Daily ICU occupancy,86
Australia,1/04/2020,Daily ICU occupancy per million,3.285
Australia,1/04/2020,Daily hospital occupancy,441
Australia,1/04/2020,Daily hospital occupancy per million,16.847
Australia,2/04/2020,Daily ICU occupancy,92
Australia,2/04/2020,Daily ICU occupancy per million,3.514
Australia,2/04/2020,Daily hospital occupancy,415
Australia,2/04/2020,Daily hospital occupancy per million,15.853
Australia,3/04/2020,Daily ICU occupancy,93
Australia,3/04/2020,Daily ICU occupancy per million,3.553
Australia,3/04/2020,Daily hospital occupancy,457
Australia,3/04/2020,Daily hospital occupancy per million,17.458
Australia,4/04/2020,Daily ICU occupancy,95
Australia,4/04/2020,Daily ICU occupancy per million,3.629
Australia,4/04/2020,Daily hospital occupancy,490
Australia,4/04/2020,Daily hospital occupancy per million,18.718
Australia,5/04/2020,Daily ICU occupancy,96
Australia,5/04/2020,Daily ICU occupancy per million,3.667
Australia,5/04/2020,Daily hospital occupancy,457
Australia,5/04/2020,Daily hospital occupancy per million,17.458
Australia,6/04/2020,Daily ICU occupancy,93
Australia,6/04/2020,Daily ICU occupancy per million,3.553
Australia,6/04/2020,Daily hospital occupancy,305
Australia,6/04/2020,Daily hospital occupancy per million,11.651
Australia,7/04/2020,Daily ICU occupancy,87
Australia,7/04/2020,Daily ICU occupancy per million,3.323
Australia,7/04/2020,Daily hospital occupancy,263
Australia,7/04/2020,Daily hospital occupancy per million,10.047
Australia,8/04/2020,Daily ICU occupancy,81
Australia,8/04/2020,Daily ICU occupancy per million,3.094
Australia,8/04/2020,Daily hospital occupancy,262
Australia,8/04/2020,Daily hospital occupancy per million,10.009
Australia,9/04/2020,Daily ICU occupancy,81
Australia,9/04/2020,Daily ICU occupancy per million,3.094
Australia,9/04/2020,Daily hospital occupancy,247
Australia,9/04/2020,Daily hospital occupancy per million,9.436
Australia,10/04/2020,Daily ICU occupancy,80
Australia,10/04/2020,Daily ICU occupancy per million,3.056
Australia,10/04/2020,Daily hospital occupancy,240
Australia,10/04/2020,Daily hospital occupancy per million,9.168
Australia,11/04/2020,Daily ICU occupancy,83
Australia,11/04/2020,Daily ICU occupancy per million,3.171
Australia,11/04/2020,Daily hospital occupancy,239
Australia,11/04/2020,Daily hospital occupancy per million,9.13
Australia,12/04/2020,Daily ICU occupancy,79
Australia,12/04/2020,Daily ICU occupancy per million,3.018
Australia,12/04/2020,Daily hospital occupancy,227
Australia,12/04/2020,Daily hospital occupancy per million,8.672
Australia,13/04/2020,Daily ICU occupancy,80
Australia,13/04/2020,Daily ICU occupancy per million,3.056
Australia,13/04/2020,Daily hospital occupancy,230
Australia,13/04/2020,Daily hospital occupancy per million,8.786
Australia,14/04/2020,Daily ICU occupancy,73
Australia,14/04/2020,Daily ICU occupancy per million,2.789
Australia,14/04/2020,Daily hospital occupancy,214
Australia,14/04/2020,Daily hospital occupancy per million,8.175
Australia,15/04/2020,Daily ICU occupancy,67
Australia,15/04/2020,Daily ICU occupancy per million,2.559
Australia,15/04/2020,Daily hospital occupancy,201
Australia,15/04/2020,Daily hospital occupancy per million,7.678
Australia,16/04/2020,Daily ICU occupancy,60
Australia,16/04/2020,Daily ICU occupancy per million,2.292
Australia,16/04/2020,Daily hospital occupancy,192
Australia,16/04/2020,Daily hospital occupancy per million,7.335
Australia,17/04/2020,Daily ICU occupancy,55
Australia,17/04/2020,Daily ICU occupancy per million,2.101
Australia,17/04/2020,Daily hospital occupancy,184
Australia,17/04/2020,Daily hospital occupancy per million,7.029
Australia,18/04/2020,Daily ICU occupancy,48
Australia,18/04/2020,Daily ICU occupancy per million,1.834
Australia,18/04/2020,Daily hospital occupancy,177
Australia,18/04/2020,Daily hospital occupancy per million,6.762
Australia,19/04/2020,Daily ICU occupancy,49
Australia,19/04/2020,Daily ICU occupancy per million,1.872
Australia,19/04/2020,Daily hospital occupancy,170
Australia,19/04/2020,Daily hospital occupancy per million,6.494
Australia,20/04/2020,Daily ICU occupancy,47
Australia,20/04/2020,Daily ICU occupancy per million,1.795
Australia,20/04/2020,Daily hospital occupancy,167
Australia,20/04/2020,Daily hospital occupancy per million,6.38
Australia,21/04/2020,Daily ICU occupancy,46
Australia,21/04/2020,Daily ICU occupancy per million,1.757
Australia,21/04/2020,Daily hospital occupancy,161
Australia,21/04/2020,Daily hospital occupancy per million,6.15
Australia,22/04/2020,Daily ICU occupancy,45
Australia,22/04/2020,Daily ICU occupancy per million,1.719
Australia,22/04/2020,Daily hospital occupancy,152
Australia,22/04/2020,Daily hospital occupancy per million,5.807
Australia,23/04/2020,Daily ICU occupancy,42
Australia,23/04/2020,Daily ICU occupancy per million,1.604
Australia,23/04/2020,Daily hospital occupancy,138
Australia,23/04/2020,Daily hospital occupancy per million,5.272
Australia,24/04/2020,Daily ICU occupancy,43
Australia,24/04/2020,Daily ICU occupancy per million,1.643
Australia,24/04/2020,Daily hospital occupancy,129
Australia,24/04/2020,Daily hospital occupancy per million,4.928
Australia,25/04/2020,Daily ICU occupancy,43
Australia,25/04/2020,Daily ICU occupancy per million,1.643
Australia,25/04/2020,Daily hospital occupancy,115
Australia,25/04/2020,Daily hospital occupancy per million,4.393
Australia,26/04/2020,Daily ICU occupancy,43
Australia,26/04/2020,Daily ICU occupancy per million,1.643
Australia,26/04/2020,Daily hospital occupancy,113
Australia,26/04/2020,Daily hospital occupancy per million,4.317
Australia,27/04/2020,Daily ICU occupancy,42
Australia,27/04/2020,Daily ICU occupancy per million,1.604
Australia,27/04/2020,Daily hospital occupancy,109
Australia,27/04/2020,Daily hospital occupancy per million,4.164
Australia,28/04/2020,Daily ICU occupancy,38
Australia,28/04/2020,Daily ICU occupancy per million,1.452
Australia,28/04/2020,Daily hospital occupancy,93
Australia,28/04/2020,Daily hospital occupancy per million,3.553
Australia,29/04/2020,Daily ICU occupancy,34
Australia,29/04/2020,Daily ICU occupancy per million,1.299
Australia,29/04/2020,Daily hospital occupancy,89
Australia,29/04/2020,Daily hospital occupancy per million,3.4
Australia,30/04/2020,Daily ICU occupancy,28
Australia,30/04/2020,Daily ICU occupancy per million,1.07
Australia,30/04/2020,Daily hospital occupancy,83
Australia,30/04/2020,Daily hospital occupancy per million,3.171
Australia,1/05/2020,Daily ICU occupancy,28
Australia,1/05/2020,Daily ICU occupancy per million,1.07
Australia,1/05/2020,Daily hospital occupancy,79
Australia,1/05/2020,Daily hospital occupancy per million,3.018
Australia,2/05/2020,Daily ICU occupancy,28
Australia,2/05/2020,Daily ICU occupancy per million,1.07
Australia,2/05/2020,Daily hospital occupancy,75
Australia,2/05/2020,Daily hospital occupancy per million,2.865
Australia,3/05/2020,Daily ICU occupancy,28
Australia,3/05/2020,Daily ICU occupancy per million,1.07
Australia,3/05/2020,Daily hospital occupancy,70
Australia,3/05/2020,Daily hospital occupancy per million,2.674
Australia,4/05/2020,Daily ICU occupancy,27
Australia,4/05/2020,Daily ICU occupancy per million,1.031
Australia,4/05/2020,Daily hospital occupancy,66
Australia,4/05/2020,Daily hospital occupancy per million,2.521
Australia,5/05/2020,Daily ICU occupancy,27
Australia,5/05/2020,Daily ICU occupancy per million,1.031
Australia,5/05/2020,Daily hospital occupancy,62
Australia,5/05/2020,Daily hospital occupancy per million,2.368
Australia,6/05/2020,Daily ICU occupancy,23
Australia,6/05/2020,Daily ICU occupancy per million,0.879
Australia,6/05/2020,Daily hospital occupancy,58
Australia,6/05/2020,Daily hospital occupancy per million,2.216
Australia,7/05/2020,Daily ICU occupancy,21
Australia,7/05/2020,Daily ICU occupancy per million,0.802
Australia,7/05/2020,Daily hospital occupancy,56
Australia,7/05/2020,Daily hospital occupancy per million,2.139
Australia,8/05/2020,Daily ICU occupancy,19
Australia,8/05/2020,Daily ICU occupancy per million,0.726
Australia,8/05/2020,Daily hospital occupancy,51
Australia,8/05/2020,Daily hospital occupancy per million,1.948
Australia,9/05/2020,Daily ICU occupancy,17
Australia,9/05/2020,Daily ICU occupancy per million,0.649
Australia,9/05/2020,Daily hospital occupancy,43
Australia,9/05/2020,Daily hospital occupancy per million,1.643
Australia,10/05/2020,Daily ICU occupancy,16
Australia,10/05/2020,Daily ICU occupancy per million,0.611
Australia,10/05/2020,Daily hospital occupancy,49
Australia,10/05/2020,Daily hospital occupancy per million,1.872
Australia,11/05/2020,Daily ICU occupancy,16
Australia,11/05/2020,Daily ICU occupancy per million,0.611
Australia,11/05/2020,Daily hospital occupancy,47
Australia,11/05/2020,Daily hospital occupancy per million,1.795
Australia,12/05/2020,Daily ICU occupancy,17
Australia,12/05/2020,Daily ICU occupancy per million,0.649
